"scope","request_id","user_id","start_time","region"
"33467","946af6d2-4762-443d-9016-fe1e4836","030c7e70-5144-415c-9c80-33077dc70a07",2021-06-10 15:38:02,"[{""end_time"":1623310682049,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623310682049,""status"":""ENTER""},{""end_time"":1623310682049,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623310682049,""status"":""ENTER""}]"
"33467","9556103c-f47b-4bd5-abe4-20d0da3d","e4adb892-be50-4158-bdaa-e66b18b1",2021-06-10 10:34:09,"[{""end_time"":1623292449483,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623292449483,""status"":""ENTER""},{""end_time"":1623292449483,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623292449483,""status"":""ENTER""}]"
"33467","95d2b4af-fa0e-4056-bf1a-65c9049e","35f72fb8-9eaf-4b61-9528-bd248030",2021-06-10 18:35:27,"[{""end_time"":1623321327679,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623321327679,""status"":""ENTER""},{""end_time"":1623321327679,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623321327679,""status"":""ENTER""}]"
"33467","96accafa-663c-450d-a935-1dec7635","75a0f7b9-c017-4184-82d6-5c32a615",2021-06-10 17:28:07,"[{""end_time"":1623317287118,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623317287118,""status"":""ENTER""},{""end_time"":1623317287118,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623317287118,""status"":""ENTER""}]"
"33467","97aa5ddd-6b6b-4af1-b645-5acc2046","97aa5ddd-6b6b-4af1-b645-5acc2046",2021-06-10 09:57:40,"[{""end_time"":1623290260788,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623290260788,""status"":""ENTER""},{""end_time"":1623290260788,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623290260788,""status"":""ENTER""}]"
"33467","987c61a6-245b-4807-bbb2-d10a7b89","987c61a6-245b-4807-bbb2-d10a7b89",2021-06-10 13:52:38,"[{""end_time"":1623304358755,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623304358755,""status"":""ENTER""},{""end_time"":1623304358755,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623304358755,""status"":""ENTER""}]"
"33467","98868eee-800e-4415-a77a-c002d056","47102148-1309-4c62-bd90-7fb127aa",2021-06-10 10:02:01,"[{""end_time"":1623290521982,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623290521982,""status"":""ENTER""},{""end_time"":1623290521982,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623290521982,""status"":""ENTER""}]"
"33467","9903a7a6-fc92-469e-a504-4f8aa5d1","c10e3cb2-4d48-4039-96ee-543fa0e2",2021-06-10 06:24:04,"[{""end_time"":1623277444562,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623277444562,""status"":""ENTER""},{""end_time"":1623277444562,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623277444562,""status"":""ENTER""}]"
"33467","9956fd7e-da17-47b5-8a67-51f37427","c7703224-279b-4ebc-922d-f39f726e",2021-06-10 16:57:14,"[{""end_time"":1623315434619,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33469"",""region_type"":""DEFAULT"",""start_time"":1623315434619,""status"":""ENTER""},{""end_time"":1623315434619,""entrance_id"":""33508"",""entrance_type"":""REGION"",""region_id"":""33468"",""region_type"":""STORE"",""start_time"":1623315434619,""status"":""ENTER""}]"
"33467","99787f39-7657-464e-adea-66fd1a24","acc72e25-6ca0-487e-a0b6-85a7fc68",2021-06-10 11:29:33,"[{""end_time"":1623295773574,""entrance_id"":""33523"",""entrance_type"":""REGION"",""region_id"":""33480"",""region_type"":""DEFAULT"",""start_time"":1623295773574,""status"":""ENTER""}]"
