4-9,378,pick,378,376,377,376,377,378,377,377,377,378
4-10,14,put,14,13,13,14,14,14,13,15,15,13
4-10,14,pick,15,13,13,13,14,14,14,13,15,15
4-10,45,put,45,44,45,45,46,43,43,45,45,45
4-10,45,pick,45,44,44,45,46,42,45,44,45,45
4-10,121,put,120,121,121,121,122,121,121,119,122,121
4-10,121,pick,120,120,121,121,121,121,120,120,121,122
4-10,378,put,377,378,378,378,377,378,377,377,377,377
4-10,378,pick,377,379,378,378,378,377,378,377,377,377
3-2,14,put,14,14,13,15,14,13,14,13,13,15
3-2,14,pick,15,14,13,14,14,14,13,13,13,14
3-2,45,put,45,44,44,45,46,43,46,44,46,44
3-2,45,pick,44,44,45,45,46,46,44,47,45,43
3-2,121,put,121,122,119,120,120,120,119,119,120,120
3-2,121,pick,119,121,119,121,120,119,119,121,119,122
3-2,378,put,377,378,377,377,376,375,376,375,378,376
3-2,378,pick,376,380,377,376,377,376,376,377,376,376
3-4,14,put,13,13,13,14,14,14,14,14,12,15
3-4,14,pick,14,12,13,14,15,14,14,13,13,13
3-4,45,put,45,42,43,45,44,41,44,46,43,44
3-4,45,pick,43,42,43,45,43,43,44,45,43,43
3-4,121,put,123,116,123,123,118,120,119,124,117,124
3-4,121,pick,117,116,123,123,116,122,117,125,115,124
3-4,378,put,371,366,377,385,374,389,390,374,363,372
3-4,378,pick,372,364,378,387,369,391,390,371,363,372
3-5,14,put,15,15,13,12,13,14,14,14,13,13
3-5,14,pick,15,13,14,12,13,14,13,14,13,14
3-5,45,put,44,43,44,44,44,44,44,45,45,45
3-5,45,pick,44,43,44,45,43,45,44,44,46,45
3-5,121,put,120,119,120,120,120,119,119,120,120,119
3-5,121,pick,120,119,120,119,120,119,119,120,120,119
3-5,378,put,376,376,376,375,377,376,376,376,377,376
3-5,378,pick,376,376,376,376,376,377,376,377,377,376
2-2,14,put,15,14,15,15,15,13,14,15,13,14
2-2,14,pick,13,15,15,15,14,15,16,14,14,14
2-2,45,put,45,46,45,44,46,45,44,44,44,44
2-2,45,pick,46,45,44,45,45,44,46,43,43,45
2-2,121,put,119,121,120,120,119,120,120,121,118,120
2-2,121,pick,120,121,119,118,120,120,121,119,118,121
2-2,378,put,375,377,377,375,376,375,376,377,375,377
2-2,378,pick,376,377,376,376,375,375,377,376,375,378
2-4,14,put,15,14,14,14,15,14,16,13,14,14
2-4,14,pick,14,14,14,14,15,15,14,13,15,14
2-4,45,put,45,44,43,43,45,45,43,45,44,44
2-4,45,pick,45,44,44,44,43,45,44,43,45,44
2-4,121,put,120,120,120,122,121,120,120,121,120,120
2-4,121,pick,120,120,120,121,120,121,120,121,121,120
2-4,378,put,376,376,376,377,377,378,377,378,377,377
2-4,378,pick,376,376,376,376,377,377,378,377,377,377
2-5,14,put,14,13,14,15,12,13,15,14,14,15
2-5,14,pick,15,14,13,14,14,12,14,14,14,14
2-5,45,put,44,44,44,44,44,44,43,44,44,44
2-5,45,pick,44,44,44,44,44,44,44,44,44,44
2-5,121,put,121,120,119,119,120,120,120,121,120,120
2-5,121,pick,121,120,119,119,119,120,120,121,120,120
2-5,378,put,378,377,377,376,377,377,378,375,378,377
2-5,378,pick,377,377,376,376,376,377,377,377,377,377
1-2,14,put,14,15,13,15,13,14,14,15,14,13
1-2,14,pick,14,13,14,13,14,14,14,13,13,14
1-2,45,put,46,45,45,44,45,44,45,44,45,44
1-2,45,pick,46,44,44,45,45,44,45,44,44,44
1-2,121,put,121,121,120,121,121,120,120,121,120,121
1-2,121,pick,121,120,120,120,120,120,120,120,120,121
